date,value
2023-01-02,344.88
2023-01-03,344.44
2023-01-04,339.48
2023-01-05,342.16
2023-01-06,338.92
2023-01-09,333.97
2023-01-10,331.97
2023-01-11,336.96
2023-01-12,343.57
2023-01-13,349.26
2023-01-16,356.38
2023-01-17,362.19
2023-01-18,351.82
2023-01-19,355.41
2023-01-20,360.98
2023-01-23,363.19
2023-01-24,360.03
2023-01-25,365.99
2023-01-26,369.39
2023-01-27,370.39
2023-01-30,369.52
2023-01-31,367.42
2023-02-01,367.07
2023-02-02,366.83
2023-02-03,362.95
2023-02-06,365.71
2023-02-07,366.16
2023-02-08,366.13
2023-02-09,371.6
2023-02-10,371.23
2023-02-13,370.87
2023-02-14,369.82
2023-02-15,368.52
2023-02-16,370.02
2023-02-17,369.8
2023-02-20,369.8
2023-02-21,369.8
2023-02-22,368.46
2023-02-23,367.03
2023-02-24,367.02
2023-02-27,364.93
2023-02-28,366.41
2023-03-01,368.88
2023-03-02,372.57
2023-03-03,372.31
2023-03-06,372.68
2023-03-07,375.69
2023-03-08,378.96
2023-03-09,387.78
2023-03-10,393.68
2023-03-13,395.5
2023-03-14,391.47
2023-03-15,397.07
2023-03-16,400.62
2023-03-17,403.57
2023-03-20,401.36
2023-03-21,399.62
2023-03-22,397.17
2023-03-23,390.19
2023-03-24,390.19
2023-03-27,392.58
2023-03-28,390.63
2023-03-29,395.89
2023-03-30,402.79
2023-03-31,406.54
2023-04-03,406.77
2023-04-04,409.82
2023-04-05,408.24
2023-04-06,408.24
2023-04-07,408.24
2023-04-10,403.17
2023-04-11,398.97
2023-04-12,398.31
2023-04-13,402.14
2023-04-14,404.88
2023-04-17,409.04
2023-04-18,425.9
2023-04-19,429.65
2023-04-20,435.74
2023-04-21,455.11
2023-04-24,462.35
2023-04-25,465.97
2023-04-26,469.32
2023-04-27,457.29
2023-04-28,453.16
2023-05-01,453.16
2023-05-02,433.64
2023-05-03,427.27
2023-05-04,420.79
2023-05-05,440.61
2023-05-08,440.3
2023-05-09,434.0
2023-05-10,441.64
2023-05-11,441.64
2023-05-12,440.8
2023-05-15,444.6
2023-05-16,447.43
2023-05-17,454.37
2023-05-18,478.98
2023-05-19,474.35
2023-05-22,478.92
2023-05-23,481.11
2023-05-24,479.65
2023-05-25,480.88
2023-05-26,480.88
2023-05-29,480.66
2023-05-30,463.14
2023-05-31,474.99
2023-06-01,469.55
2023-06-02,479.0
2023-06-05,496.78
2023-06-06,493.46
2023-06-07,489.85
2023-06-08,481.54
2023-06-09,479.27
2023-06-12,503.37
2023-06-13,492.22
2023-06-14,495.56
2023-06-15,493.92
2023-06-16,487.12
2023-06-19,487.12
2023-06-20,487.12
2023-06-21,492.71
2023-06-22,502.34
2023-06-23,488.05
2023-06-26,489.63
2023-06-27,498.18
2023-06-28,496.29
2023-06-29,487.56
2023-06-30,495.64
2023-07-03,485.57
2023-07-04,495.0
2023-07-05,492.9
2023-07-06,498.87
2023-07-07,499.56
2023-07-10,500.53
2023-07-11,500.41
2023-07-12,501.46
2023-07-13,502.46
2023-07-14,504.49
2023-07-17,507.53
2023-07-18,520.74
2023-07-19,526.26
2023-07-20,532.51
2023-07-21,533.27
2023-07-24,531.88
2023-07-25,530.1
2023-07-26,527.72
2023-07-27,531.34
2023-07-28,536.07
2023-07-31,555.1
2023-08-01,560.13
2023-08-02,568.59
2023-08-03,576.7
2023-08-04,585.31
2023-08-07,597.63
2023-08-08,597.4
2023-08-09,591.7
2023-08-10,598.83
2023-08-11,601.24
2023-08-14,654.95
2023-08-15,702.22
2023-08-16,722.98
2023-08-17,743.44
2023-08-18,745.78
2023-08-21,746.14
2023-08-22,745.51
2023-08-23,746.6
2023-08-24,761.61
2023-08-25,770.12
2023-08-28,787.36
2023-08-29,802.35
2023-08-30,798.38
2023-08-31,780.54
2023-09-01,767.88
2023-09-04,769.98
2023-09-05,761.48
2023-09-06,762.97
2023-09-07,738.69
2023-09-08,741.09
2023-09-11,736.03
2023-09-12,739.15
2023-09-13,741.06
2023-09-14,742.66
2023-09-15,740.08
2023-09-18,734.43
2023-09-19,737.71
2023-09-20,742.94
2023-09-21,748.87
2023-09-22,753.08
2023-09-25,761.71
2023-09-26,775.52
2023-09-27,789.68
2023-09-28,819.07
2023-09-29,822.23
2023-10-02,829.67
2023-10-03,837.8
2023-10-04,904.99
2023-10-05,893.88
2023-10-06,891.96
2023-10-09,881.52
2023-10-10,953.56
2023-10-11,944.76
2023-10-12,966.77
2023-10-13,966.96
2023-10-16,966.96
2023-10-17,962.15
2023-10-18,952.59
2023-10-19,957.07
