date,value
2023-01-02,329.21
2023-01-03,330.7
2023-01-04,334.93
2023-01-05,332.67
2023-01-06,329.91
2023-01-09,327.17
2023-01-10,325.87
2023-01-11,327.7
2023-01-12,342.38
2023-01-13,340.23
2023-01-16,344.03
2023-01-17,341.89
2023-01-18,340.3
2023-01-19,332.83
2023-01-20,352.52
2023-01-23,352.21
2023-01-24,353.85
2023-01-25,351.98
2023-01-26,352.22
2023-01-27,352.78
2023-01-30,353.93
2023-01-31,354.81
2023-02-01,353.7
2023-02-02,354.75
2023-02-03,357.36
2023-02-06,353.94
2023-02-07,353.2
2023-02-08,354.95
2023-02-09,354.36
2023-02-10,354.15
2023-02-13,355.27
2023-02-14,355.28
2023-02-15,356.23
2023-02-16,357.61
2023-02-17,355.59
2023-02-20,355.59
2023-02-21,355.59
2023-02-22,356.45
2023-02-23,357.26
2023-02-24,356.78
2023-02-27,356.07
2023-02-28,357.47
2023-03-01,359.78
2023-03-02,364.81
2023-03-03,366.5
2023-03-06,362.42
2023-03-07,366.97
2023-03-08,372.86
2023-03-09,375.43
2023-03-10,380.64
2023-03-13,379.51
2023-03-14,377.76
2023-03-15,383.31
2023-03-16,388.76
2023-03-17,388.84
2023-03-20,387.63
2023-03-21,385.98
2023-03-22,387.1
2023-03-23,375.72
2023-03-24,375.72
2023-03-27,376.4
2023-03-28,383.55
2023-03-29,386.81
2023-03-30,391.82
2023-03-31,397.37
2023-04-03,396.94
2023-04-04,402.41
2023-04-05,396.6
2023-04-06,396.6
2023-04-07,396.6
2023-04-10,390.71
2023-04-11,387.0
2023-04-12,386.34
2023-04-13,388.14
2023-04-14,398.62
2023-04-17,395.45
2023-04-18,408.86
2023-04-19,409.77
2023-04-20,421.9
2023-04-21,437.75
2023-04-24,449.02
2023-04-25,447.5
2023-04-26,446.43
2023-04-27,442.23
2023-04-28,436.05
2023-05-01,436.05
2023-05-02,428.84
2023-05-03,431.03
2023-05-04,430.19
2023-05-05,432.35
2023-05-08,432.08
2023-05-09,432.08
2023-05-10,436.09
2023-05-11,440.07
2023-05-12,434.31
2023-05-15,437.66
2023-05-16,442.43
2023-05-17,444.08
2023-05-18,473.5
2023-05-19,465.42
2023-05-22,464.27
2023-05-23,466.09
2023-05-24,462.35
2023-05-25,459.55
2023-05-26,459.55
2023-05-29,459.51
2023-05-30,462.32
2023-05-31,466.98
2023-06-01,467.03
2023-06-02,469.09
2023-06-05,472.29
2023-06-06,473.87
2023-06-07,472.76
2023-06-08,473.92
2023-06-09,473.5
2023-06-12,474.49
2023-06-13,473.19
2023-06-14,474.98
2023-06-15,474.59
2023-06-16,479.35
2023-06-19,479.35
2023-06-20,479.35
2023-06-21,476.46
2023-06-22,482.51
2023-06-23,486.66
2023-06-26,479.79
2023-06-27,483.43
2023-06-28,484.01
2023-06-29,482.23
2023-06-30,484.69
2023-07-03,483.45
2023-07-04,482.9
2023-07-05,480.37
2023-07-06,484.68
2023-07-07,484.78
2023-07-10,490.4
2023-07-11,488.64
2023-07-12,488.65
2023-07-13,498.73
2023-07-14,499.71
2023-07-17,499.86
2023-07-18,494.9
2023-07-19,494.65
2023-07-20,495.84
2023-07-21,498.08
2023-07-24,497.09
2023-07-25,507.12
2023-07-26,503.9
2023-07-27,510.62
2023-07-28,508.01
2023-07-31,509.1
2023-08-01,509.45
2023-08-02,512.54
2023-08-03,513.99
2023-08-04,514.71
2023-08-07,516.7
2023-08-08,521.92
2023-08-09,527.92
2023-08-10,529.82
2023-08-11,539.89
2023-08-14,621.14
2023-08-15,667.17
2023-08-16,651.42
2023-08-17,659.49
2023-08-18,657.48
2023-08-21,657.48
2023-08-22,658.88
2023-08-23,661.32
2023-08-24,665.4
2023-08-25,664.97
2023-08-28,667.95
2023-08-29,671.02
2023-08-30,670.99
2023-08-31,670.83
2023-09-01,670.37
2023-09-04,672.62
2023-09-05,672.34
2023-09-06,673.47
2023-09-07,674.84
2023-09-08,673.36
2023-09-11,675.54
2023-09-12,676.46
2023-09-13,676.32
2023-09-14,677.79
2023-09-15,678.68
2023-09-18,679.36
2023-09-19,680.08
2023-09-20,679.95
2023-09-21,680.85
2023-09-22,682.08
2023-09-25,683.01
2023-09-26,685.58
2023-09-27,689.85
2023-09-28,694.89
2023-09-29,701.01
2023-10-02,709.83
2023-10-03,720.62
2023-10-04,747.68
2023-10-05,784.83
2023-10-06,812.75
2023-10-09,840.01
2023-10-10,844.81
2023-10-11,854.74
2023-10-12,870.46
2023-10-13,870.46
2023-10-16,870.46
2023-10-17,884.82
2023-10-18,884.74
2023-10-19,888.6
2023-10-20,898.91
2023-10-23,899.33
2023-10-24,843.82
2023-10-25,872.31
2023-10-26,855.48
2023-10-27,806.84
2023-10-30,859.75
2023-10-31,852.85
2023-11-01,840.28
2023-11-02,863.64
2023-11-03,844.01
2023-11-06,844.01
2023-11-07,848.8
2023-11-08,840.97
2023-11-09,863.3
2023-11-10,881.71
2023-11-13,870.63
2023-11-14,868.42
2023-11-15,882.35
2023-11-16,857.14
2023-11-17,872.61
2023-11-20,872.61
2023-11-21,930.44
2023-11-22,984.19
2023-11-23,1006.39
2023-11-24,972.75
2023-11-27,889.15
2023-11-28,867.12
2023-11-29,838.16
2023-11-30,858.82
2023-12-01,907.69
2023-12-04,913.05
2023-12-05,934.71
2023-12-06,936.93
2023-12-07,986.37
2023-12-08,986.37
2023-12-11,993.53
2023-12-12,1011.46
2023-12-13,1037.29
2023-12-14,1003.94
2023-12-15,993.73
2023-12-18,963.22
2023-12-19,964.69
2023-12-20,946.47
2023-12-21,971.88
2023-12-22,954.23
2023-12-25,954.23
2023-12-26,939.7
2023-12-27,932.59
2023-12-28,950.24
2023-12-29,995.0
2024-01-01,995.0
2024-01-02,991.3
2024-01-03,1033.56
2024-01-04,1050.43
2024-01-05,1104.93
2024-01-08,1141.62
2024-01-09,1160.38
2024-01-10,1142.45
2024-01-11,1119.17
2024-01-12,1096.39
2024-01-15,1125.3
2024-01-16,1163.48
2024-01-17,1221.49
2024-01-18,1227.54
2024-01-19,1251.67
2024-01-22,1241.41
2024-01-23,1233.22
2024-01-24,1232.72
2024-01-25,1229.32
2024-01-26,1188.48
2024-01-29,1219.88
2024-01-30,1208.21
2024-01-31,1175.67
2024-02-01,1235.43
2024-02-02,1237.43
2024-02-05,1209.52
2024-02-06,1194.74
2024-02-07,1199.41
2024-02-08,1183.55
2024-02-09,1173.36
2024-02-12,1173.36
2024-02-13,1173.36
2024-02-14,1124.14
2024-02-15,1086.86
2024-02-16,1064.71
2024-02-19,1108.61
2024-02-20,1080.31
2024-02-21,1072.51
2024-02-22,1054.78
2024-02-23,1076.6
2024-02-26,1051.04
2024-02-27,1044.95
2024-02-28,1031.25
2024-02-29,1032.24
2024-03-01,1053.46
2024-03-04,1029.54
2024-03-05,1016.08
2024-03-06,981.21
2024-03-07,996.63
2024-03-08,1000.47
2024-03-11,980.98
2024-03-12,1036.19
2024-03-13,1012.01
2024-03-14,1015.67
2024-03-15,1027.63
2024-03-18,1023.89
2024-03-19,1032.36
2024-03-20,1042.43
2024-03-21,1036.25
2024-03-22,1036.16
2024-03-25,1012.94
2024-03-26,1027.09
2024-03-27,1016.09
2024-03-28,1016.09
2024-03-29,1016.09
2024-04-01,1016.09
2024-04-02,1016.09
2024-04-03,991.25
2024-04-04,996.25
2024-04-05,1000.88
2024-04-08,985.86
2024-04-09,1000.69
2024-04-10,999.64
2024-04-11,994.86
2024-04-12,1005.46
2024-04-15,1021.55
2024-04-16,1031.63
2024-04-17,1021.16
2024-04-18,1021.92
2024-04-19,1026.65
2024-04-22,1014.98
2024-04-23,1006.71
2024-04-24,1015.54
2024-04-25,1034.06
2024-04-26,1034.04
2024-04-29,1037.77
2024-04-30,1040.89
2024-05-01,1040.89
2024-05-02,1064.56
2024-05-03,1072.64
