date,value
2021-05-20,99.71
2021-05-21,99.71
2021-05-26,99.96
2021-05-27,100.02
2021-05-28,100.04
2021-05-31,100.09
2021-06-01,100.23
2021-06-02,100.26
2021-06-03,100.26
2021-06-04,100.28
2021-06-07,100.37
2021-06-08,100.37
2021-06-09,100.36
2021-06-10,100.37
2021-06-11,100.39
2021-06-14,100.53
2021-06-15,100.67
2021-06-16,100.62
2021-06-17,100.71
2021-06-18,100.71
2021-06-22,100.69
2021-06-23,100.89
2021-06-24,100.89
2021-06-25,100.99
2021-06-28,101.1
2021-06-29,101.14
2021-06-30,101.17
2021-07-01,101.19
2021-07-02,101.19
2021-07-05,101.28
2021-07-06,101.33
2021-07-07,101.34
2021-07-08,101.35
2021-07-12,101.42
2021-07-13,101.48
2021-07-14,101.63
2021-07-15,101.64
2021-07-16,101.65
2021-07-19,101.72
2021-07-20,101.75
2021-07-21,101.76
2021-07-22,101.69
2021-07-23,101.75
2021-07-26,101.82
2021-07-27,101.95
2021-07-28,102.01
2021-07-29,101.99
2021-07-30,102.06
2021-08-02,102.12
2021-08-03,102.18
2021-08-04,102.25
2021-08-05,102.28
2021-08-06,102.3
2021-08-09,102.33
2021-08-10,102.34
2021-08-11,102.34
2021-08-12,102.36
2021-08-13,102.53
2021-08-17,102.57
2021-08-18,102.57
2021-08-19,102.61
2021-08-20,102.64
2021-08-23,102.76
2021-08-24,102.79
2021-08-25,102.79
2021-08-26,102.97
2021-08-27,102.97
2021-08-30,103.11
2021-08-31,103.14
2021-09-01,103.22
2021-09-02,103.31
2021-09-03,103.33
2021-09-06,103.45
2021-09-07,103.42
2021-09-08,103.53
2021-09-09,103.54
2021-09-10,103.56
2021-09-13,103.62
2021-09-14,103.62
2021-09-15,103.71
2021-09-16,103.58
2021-09-17,103.77
2021-09-20,104.09
2021-09-21,104.26
2021-09-22,104.1
2021-09-23,104.1
2021-09-24,104.12
2021-09-27,104.18
2021-09-28,104.19
2021-09-29,104.2
2021-09-30,104.3
2021-10-01,104.25
2021-10-04,104.34
2021-10-05,104.53
2021-10-06,104.53
2021-10-07,104.54
2021-10-12,104.47
2021-10-13,104.64
2021-10-14,104.59
